raw\gen\time/time_elapsed,raw\gen\rollout/ep_rew_mean,raw\gen\rollout/ep_len_mean,raw\gen\time/iterations,raw\gen\time/total_timesteps,raw\gen\time/fps,raw\gen\train/approx_kl,raw\gen\train/clip_fraction,raw\gen\train/policy_gradient_loss,raw\gen\train/n_updates,raw\gen\rollout/ep_rew_wrapped_mean,raw\gen\train/loss,raw\gen\train/value_loss,raw\gen\train/entropy_loss,raw\gen\train/explained_variance,raw\gen\train/clip_range,raw\gen\train/learning_rate
2,295.99,295.99,1,61440,29353,0.009309142,0.07802083333333333,-0.00701976320395867,630,248.34998620133848,-0.018031645566225052,0.006435723117707918,-0.35441137115160626,0.9831285905092955,0.2,0.0003
2,298.13,298.13,1,62400,31060,0.0008375871,0.07166666666666667,-0.0055239330107967055,640,249.64394672494382,-0.019693002104759216,0.009181366031989456,-0.33418983379999795,0.9807140752673149,0.2,0.0003
2,301.11,301.11,1,63360,30966,0.014146057,0.12166666666666667,-0.01008787313476205,650,251.47838258024305,-0.017422497272491455,0.017750858183329304,-0.3230447483062744,0.9599696025252342,0.2,0.0003
2,302.16,302.16,1,64320,31567,0.009250481,0.10302083333333334,-0.005462638090054194,660,254.58348392333835,0.011410865932703018,0.02866626201507946,-0.29651527881622314,0.9167502745985985,0.2,0.0003
1,305.08,305.08,1,65280,32872,0.01390342,0.09625,-0.00722819193576773,670,256.74929756771775,0.06598597764968872,0.04095815680455416,-0.2892819665869077,0.885485365986824,0.2,0.0003
1,305.48,305.48,1,66240,33585,0.004807784,0.06239583333333333,-0.0022919714450836183,680,259.193499676846,0.05165109783411026,0.04081414705918481,-0.29275632043679556,0.8240692317485809,0.2,0.0003
2,308.27,308.27,1,67200,33551,0.004471436,0.09125,-0.0039764941980441415,690,260.8887848889455,0.02643268182873726,0.06536610590604444,-0.3099727538228035,0.5322697162628174,0.2,0.0003
2,308.44,308.44,1,68160,33789,0.008190741,0.0459375,-0.0031117612620194753,700,264.27789315428583,-0.005691305734217167,0.09438798331655562,-0.30550386826197307,0.38341790437698364,0.2,0.0003
2,310.81,310.81,1,69120,32497,0.0046040025,0.034166666666666665,-0.001339217343678077,710,266.0455655157194,0.012167319655418396,0.12996148246340453,-0.3319017313917478,0.24915283918380737,0.2,0.0003
1,315.72,315.72,1,70080,35238,0.0017899335,0.09458333333333334,-0.004560776669532061,720,269.1896173099801,0.055137455463409424,0.0926005730467538,-0.32950335383415225,0.24521547555923462,0.2,0.0003
2,317.78,317.78,1,71040,34922,0.007777442,0.07364583333333333,-0.004148182980716228,730,273.59922398936004,0.17889347672462463,0.12996853307820858,-0.36331284999847413,0.45459580421447754,0.2,0.0003
2,319.71,319.71,1,72000,32850,0.019901609,0.11145833333333334,-0.005801621203621228,740,276.97007475387306,-0.03343422710895538,0.12730895272145668,-0.4026453747351964,0.29707854986190796,0.2,0.0003
2,321.86,321.86,1,72960,35333,0.00717945,0.15395833333333334,-0.008612419590353965,750,280.8140551991388,0.0854291021823883,0.15441791655495762,-0.4438301014900208,0.3240004777908325,0.2,0.0003
1,323.38,323.38,1,73920,37091,0.010085866,0.10822916666666667,-0.007578952390079697,760,284.8376775951311,0.019810622557997704,0.181118307740738,-0.43570892691612245,0.41044968366622925,0.2,0.0003
2,325.11,325.11,1,74880,36670,0.0139153795,0.16625,-0.007055414511511723,770,289.9012663495168,0.07098362594842911,0.1713053445580105,-0.4790619929631551,0.3168078660964966,0.2,0.0003
1,330.03,330.03,1,75840,38010,0.0057646804,0.05260416666666667,-0.003052495022614797,780,295.0747743504867,0.05969518423080444,0.14039353774239618,-0.48489680806795754,0.5418282449245453,0.2,0.0003
2,325.16,325.16,1,76800,36744,0.01550437,0.13395833333333335,-0.011418531021724144,790,300.2005557033047,0.009398767724633217,0.09059297536189358,-0.4492085744937261,0.4918341636657715,0.2,0.0003
2,324.26,324.26,1,77760,38312,0.006055313,0.08385416666666666,-0.009984807098905245,800,294.92421191390605,0.032991982996463776,0.1152090652535359,-0.5073580431938172,0.645145982503891,0.2,0.0003
2,325.72,325.72,1,78720,37196,0.0066841203,0.021666666666666667,-0.004016701250026624,810,294.75103945162147,0.044261425733566284,0.12507038317620756,-0.49134177327156064,0.6460318565368652,0.2,0.0003
2,328.45,328.45,1,79680,39313,0.0037410299,0.0159375,-0.005241798969606559,820,296.60096939917656,0.018722819164395332,0.03985853768264254,-0.4934538871049881,0.8173913657665253,0.2,0.0003
1,329.31,329.31,1,80640,40912,0.0032063958,0.09552083333333333,-0.005845188591629267,830,301.16089745070786,0.11908368766307831,0.06593110253413519,-0.5048066240549087,0.8029992431402206,0.2,0.0003
1,334.22,334.22,1,81600,43039,0.006354318,0.06479166666666666,-0.005650077691922585,840,305.52045488473027,-0.024545468389987946,0.09303523336226742,-0.4877420379718145,0.6268424689769745,0.2,0.0003
2,331.34,331.34,1,82560,41010,0.005568935,0.02875,-0.006307092731197675,850,310.22938106711956,0.028528012335300446,0.04126930706202984,-0.43358992755413056,0.8105507642030716,0.2,0.0003
2,331.94,331.94,1,83520,39580,0.007629412,0.0553125,-0.005650674995655815,860,311.4189436116442,0.0009277896024286747,0.04602912735814849,-0.4568185230096181,0.8480600863695145,0.2,0.0003
2,337.31,337.31,1,84480,42080,0.0051446515,0.03916666666666667,-0.005362320095300675,870,313.2206965744123,0.019908849149942398,0.027792977802455425,-0.4441204160451889,0.9443479515612125,0.2,0.0003
2,339.58,339.58,1,85440,37036,0.020554785,0.144375,-0.013547093607485294,880,315.71995411958545,-0.036760542541742325,0.017907237522304057,-0.4781691666444143,0.9704280886799097,0.2,0.0003
1,339.21,339.21,1,86400,45049,0.013079431,0.1290625,-0.011132931342969337,890,317.67876735147087,-0.023679111152887344,0.018204215625301005,-0.47506115992863973,0.9707530029118061,0.2,0.0003
1,341.56,341.56,1,87360,45174,0.00016374483,0.0178125,-0.0011348941239217917,900,318.5292152398452,0.011231578886508942,0.06370272741963466,-0.4383181514342626,0.8246652036905289,0.2,0.0003
1,344.13,344.13,1,88320,45273,0.015218335,0.09166666666666666,-0.004463154166005552,910,322.41226254697887,-0.016956059262156487,0.03618440432629238,-0.4597281765937805,0.9268736764788628,0.2,0.0003
2,346.27,346.27,1,89280,43391,0.008237115,0.06770833333333333,-0.006637681399782499,920,325.3308409544453,0.007808002643287182,0.0427694032775859,-0.4305368731419245,0.878364622592926,0.2,0.0003
1,345.38,345.38,1,90240,47076,0.01885616,0.13229166666666667,-0.008643860761076212,930,329.1198991563544,-0.006151802837848663,0.06118866374095281,-0.40289168735345204,0.8452600538730621,0.2,0.0003
2,343.15,343.15,1,91200,41660,0.0020696262,0.021770833333333333,-0.0018246980383992196,940,330.84380170729014,0.005384298972785473,0.07642699633414547,-0.39804444630940755,0.7339082062244415,0.2,0.0003
2,348.06,348.06,1,92160,41419,0.017024254,0.024895833333333332,-0.0016590253263711928,950,331.2681283175573,0.00152561254799366,0.06281211944296956,-0.42373903453350065,0.8131467401981354,0.2,0.0003
1,350.08,350.08,1,93120,47979,0.003951424,0.03864583333333333,-0.003382253684103489,960,335.2947685268149,0.003898756578564644,0.07230256865732372,-0.4094320680697759,0.7454391717910767,0.2,0.0003
2,351.96,351.96,1,94080,44963,0.009771999,0.035104166666666665,-0.0026848632593949634,970,339.34332678403706,0.09504081308841705,0.06888678102754056,-0.38244063357512154,0.8094694167375565,0.2,0.0003
1,354.19,354.19,1,95040,49018,0.005758506,0.03302083333333333,-0.0014554826728999616,980,342.949201813899,-0.011743498034775257,0.03998976139196505,-0.4209815843900045,0.919073224067688,0.2,0.0003
2,359.11,359.11,1,96000,45424,0.0072307163,0.029270833333333333,-0.002489527724683285,990,346.1761542641744,-6.35804608464241e-05,0.02776929351811608,-0.447511558731397,0.9598316065967083,0.2,0.0003
1,360.61,360.61,1,96960,49299,0.0040941155,0.06614583333333333,-0.003603804217030605,1000,350.95556012760846,0.023755058646202087,0.026911708916692683,-0.4087024895350138,0.9615706019103527,0.2,0.0003
2,357.78,357.78,1,97920,48701,0.011173503,0.055625,-0.005132188508287072,1010,354.44263508927077,0.028464950621128082,0.0440647139120847,-0.42096797744433084,0.9419239573180676,0.2,0.0003
1,357.77,357.77,1,98880,51052,0.0081483545,0.06739583333333334,-0.002448450035105149,1020,352.454209115766,0.0338144451379776,0.043224148022321364,-0.4182903711001078,0.9244062155485153,0.2,0.0003
2,357.77,357.77,1,99840,49804,0.0052355025,0.04,-0.0017366884710888068,1030,348.90090530943127,0.01047062873840332,0.037647987852493923,-0.4237167634566625,0.9358936324715614,0.2,0.0003
